警察本部番号,警察本部名称,都道府県,警察署番号,頭名,フリガナ,名称,電話番号,郵便番号,郡,市区町村,全国地方公共団体コード,全体表記,町又は大字以降,管轄区域,備考,LocName,Longitude,Latitude,isTrustful,iLvl
11.0,北海道警察本部,北海道,11.0,千歳,チトセ,千歳警察署,0123-42-0110,660042.0,,千歳市,12246.0,千歳市東雲町五丁目61番地,東雲町5-61,"千歳市,北海道/千歳市/東雲町/五丁目/６１番地""",,,141.65376,42.82440,5.0,7.0
11.0,北海道警察本部,北海道,12.0,岩見沢,イワミザワ,岩見沢警察署,0126-22-0110,680010.0,,岩見沢市,12106.0,岩見沢市十条東二丁目１番地１,十条東2-1-1,"岩見沢市,北海道/岩見沢市/十条/東二丁目/１番地""",,,141.77428,43.19796,5.0,7.0
11.0,北海道警察本部,北海道,13.0,栗山,クリヤマ,栗山警察署,0123-72-0110,691513.0,夕張郡,栗山町,14290.0,夕張郡栗山町朝日三丁目115番地11,朝日3-115-11,"夕張市,北海道/夕張郡/栗山町/朝日/三丁目/１１５番地""",,,141.78984,43.05621,5.0,7.0
11.0,北海道警察本部,北海道,14.0,美唄,ビバイ,美唄警察署,0126-63-0110,720002.0,,美唄市,12157.0,美唄市東一条北七丁目１番１号,東一条北7-1-1,美唄市,,北海道/美唄市/東一条/北七丁目/１番,141.86343,43.34038,5.0,7.0
11.0,北海道警察本部,北海道,15.0,滝川,タキカワ,滝川警察署,0125-24-0110,730023.0,,滝川市,12254.0,滝川市緑町一丁目１番12号,緑町1-1-12,"滝川市,砂川市,北海道/滝川市/緑町/一丁目/１番""",,,141.91525,43.55664,5.0,7.0
11.0,北海道警察本部,北海道,16.0,赤歌,アカウタ,赤歌警察署,0125-32-0110,791142.0,,赤平市,12181.0,赤平市東大町三丁目２番地,東大町3-2,"赤平市,北海道/赤平市/東大町/三丁目/２番地""",,,142.05650,43.55193,5.0,7.0
11.0,北海道警察本部,北海道,17.0,芦別,アシベツ,芦別警察署,0124-22-0110,750031.0,,芦別市,12165.0,芦別市南一条東二丁目12番地12,南一条東2-12-12,芦別市　,,北海道/芦別市/南一条/東二丁目/１２番,142.192,43.51672,5.0,7.0
11.0,北海道警察本部,北海道,18.0,小樽,オタル,小樽警察署,0134-27-0110,470033.0,,小樽市,12033.0,小樽市富岡一丁目７番１号,富岡1-7-1,小樽市,,北海道/小樽市/富岡/一丁目/７番,140.99394,43.19497,5.0,7.0
11.0,北海道警察本部,北海道,19.0,余市,ヨイチ,余市警察署,0135-22-0110,460015.0,余市郡,余市町,14087.0,余市郡余市町朝日町27番地,朝日町27,"余市郡　余市町、仁木町、赤井川村,北海道/余市郡/余市町/朝日町/２７番地""",,,140.78329,43.19577,5.0,7.0
11.0,北海道警察本部,北海道,20.0,倶知安,クッチャン,倶知安警察署,0136-22-0110,440011.0,虻田郡,倶知安町,14001.0,虻田郡倶知安町南一条東二丁目１番地,南一条東2-1,"虻田郡の内　倶知安町、ニセコ町、喜茂別町、京極町、留寿都村、真狩村,北海道/虻田郡/倶知安町/南一条/東二丁目/１番地""",,,140.75531,42.90087,5.0,7.0
11.0,北海道警察本部,北海道,21.0,岩内,イワナイ,岩内警察署,0135-62-0110,450013.0,岩内郡,岩内町,14028.0,岩内郡岩内町字高台５番地,字高台5,"岩内郡　岩内町、共和町,北海道/岩内郡/岩内町/高台/５番地""",,,140.51096,42.97960,5.0,7.0
11.0,北海道警察本部,北海道,22.0,伊達,ダテ,伊達警察署,0142-22-0110,520031.0,,伊達市,12335.0,伊達市館山町10番地22,館山町10-22,"伊達市,北海道/伊達市/館山町/１０番地""",,,140.85800,42.47786,5.0,7.0
11.0,北海道警察本部,北海道,23.0,室蘭,ムロラン,室蘭警察署,0143-46-0110,500083.0,,室蘭市,12050.0,室蘭市東町四丁目27番10号,東町4-27-10,"室蘭市,北海道/室蘭市/東町/四丁目/２７番""",,,141.02779,42.34093,5.0,7.0
11.0,北海道警察本部,北海道,24.0,苫小牧,トマコマイ,苫小牧警察署,0144-35-0110,530018.0,,苫小牧市,12131.0,苫小牧市旭町三丁目５番12号,旭町3-5-12,"苫小牧市,北海道/苫小牧市/旭町/三丁目/５番""",,,141.60411,42.63383,5.0,7.0
11.0,北海道警察本部,北海道,25.0,門別,モンベツ,門別警察署,01456-2-0110,550004.0,沙流郡,日高町,16012.0,沙流郡日高町富川東一丁目４番１号,富川東1-4-1,"沙流郡　日高町、平取町,北海道/沙流郡/日高町/富川東/一丁目/４番""",,,142.03563,42.51212,5.0,7.0
11.0,北海道警察本部,北海道,27.0,浦河,ウラカワ,浦河警察署,0146-22-0110,570024.0,浦河郡,浦河町,16071.0,浦河郡浦河町築地二丁目２番４号,築地2-2-4,"浦河郡　浦河町,北海道/浦河郡/浦河町/築地/二丁目/２番""",,,142.76704,42.17076,5.0,7.0
12.0,北海道警察函館方面本部,北海道,1.0,函館中央,ハコダテチュウオウ,函館中央警察署,0138-54-0110,400001.0,,函館市,12025.0,函館市五稜郭町15番５号,五稜郭町15-5,"函館市の内　函館西警察署の管轄区域を除く区域,北海道/函館市/五稜郭町/１５番""",,,140.75188,41.79590,5.0,7.0
12.0,北海道警察函館方面本部,北海道,2.0,函館西,ハコダテニシ,函館西警察署,0138-42-0110,400061.0,,函館市,12025.0,函館市海岸町11番27号,海岸町11-27,函館市の内　亀田川（河口から田家町と富岡2丁目との境界線との交点までの間の部分）、市道富岡中道線（田家町と五稜郭町との境界線との交点から道道赤川函館線との交点までの間の部分）、道道赤川函館線（市道富岡中道線との交点から亀田本町と港町1丁目との境界線との交点までの間の部分）、亀田本町と港町1丁目及び亀田港町との境界線、昭和4丁目と亀田港町及び昭和町との境界線並びに西桔梗町と昭和町との境界線以西の区域,,北海道/函館市/海岸町/１１番,140.73134,41.78318,5.0,7.0
12.0,北海道警察函館方面本部,北海道,3.0,森,モリ,森警察署,01374-2-0110,492311.0,茅部郡,森町,13455.0,茅部郡森町字上台町299番地６,字上台町299-6,茅部郡　森町、鹿部町,,北海道/茅部郡/森町/上台町/２９９番地,140.5667,42.10541,5.0,7.0
12.0,北海道警察函館方面本部,北海道,4.0,八雲,ヤクモ,八雲警察署,0137-64-2110,493106.0,二海郡,八雲町,13463.0,二海郡八雲町富士見町113番地,富士見町113,"二海郡　八雲町,北海道/二海郡/八雲町/富士見町/１１３番地""",,,140.27438,42.25572,5.0,7.0
12.0,北海道警察函館方面本部,北海道,5.0,木古内,キコナイ,木古内警察署,01392-2-4110,490422.0,上磯郡,木古内町,13340.0,上磯郡木古内町字本町550番地３,字本町550-3,上磯郡　木古内町、知内町,,北海道/上磯郡/木古内町/本町/５５０番地,140.43459,41.67733,5.0,7.0
12.0,北海道警察函館方面本部,北海道,6.0,松前,マツマエ,松前警察署,0139-42-3110,491512.0,松前郡,松前町,13315.0,松前郡松前町字福山164番地,字福山164,松前郡　松前町、福島町,,北海道/松前郡/松前町/福山,140.1116,41.43183,5.0,5.0
12.0,北海道警察函館方面本部,北海道,7.0,江差,エサシ,江差警察署,0139-52-0110,430042.0,檜山郡,江差町,13617.0,檜山郡江差町字上野町30番地,字上野町30,"檜山郡　江差町、上ノ国町、厚沢部町,北海道/檜山郡/江差町/上野町/３０番地""",,,140.12361,41.86514,5.0,7.0
12.0,北海道警察函館方面本部,北海道,8.0,せたな,セタナ,せたな警察署,0137-84-6110,494512.0,久遠郡,せたな町,13714.0,久遠郡せたな町北檜山区徳島４番地17,北檜山区徳島4-17,"久遠郡　せたな町,北海道/久遠郡/せたな町/北檜山区徳島/４番地""",,,139.87926,42.41637,5.0,7.0
12.0,北海道警察函館方面本部,北海道,9.0,寿都,スッツ,寿都警察署,0136-62-2110,480406.0,寿都郡,寿都町,13927.0,寿都郡寿都町字渡島町82番地,字渡島町82,"寿都郡　寿都町、黒松内町,北海道/寿都郡/寿都町/渡島町""",,,140.22427,42.78845,5.0,5.0
13.0,北海道警察旭川方面本部,北海道,1.0,旭川中央,アサヒカワチュウオウ,旭川中央警察署,0166-25-0110,708521.0,,旭川市,12041.0,旭川市六条通十丁目2231番地１,六条通10-2231-1,"旭川市の内　旭川東警察署の管轄区域を除く区域,北海道/旭川市/六条通/十丁目/２２３１番地""",,,142.36635,43.77056,5.0,7.0
13.0,北海道警察旭川方面本部,北海道,2.0,旭川東,アサヒカワヒガシ,旭川東警察署,0166-34-0110,788211.0,,旭川市,12041.0,旭川市一条通二十五丁目487番地の６,一条通25-487-6,"旭川市の内　石狩川（上流端から牛朱別川との合流点までの間の部分）、牛朱別川（石狩川との合流点から北海道旅客鉄道株式会社宗谷本線との交点までの間の部分）、北海道旅客鉄道株式会社宗谷本線（牛朱別川との交点から新成橋通との交点までの間の部分）、新成橋通（北海道旅客鉄道株式会社宗谷本線との交点から南６条通との交点までの間の部分）、南６条通（新成橋通との交点から大雪通との交点までの間の部分）、大雪通（南６条通との交点から忠別川との交点までの間の部分）、忠別川（大雪通との交点から美瑛川との合流点までの間の部分）、美瑛川（忠別川との合流点から西神楽南13号と神居町神華との境界線との交点までの間の部分）、西神楽南13号と神居町神華との境界線、新開と神居町神華との境界線及び新開と神居町御料との境界線以東の区域,北海道/旭川市/一条通/二十五丁目/４８７番地""",,,142.38612,43.75838,5.0,7.0
13.0,北海道警察旭川方面本部,北海道,3.0,士別,シベツ,士別警察署,0165-23-0110,950015.0,,士別市,12203.0,士別市東五条五丁目１番地,東五条5-1,"士別市,北海道/士別市/東五条/五丁目/１番地""",,,142.39940,44.17766,5.0,7.0
13.0,北海道警察旭川方面本部,北海道,4.0,名寄,ナヨロ,名寄警察署,01654-2-0110,960032.0,,名寄市,12211.0,名寄市西二条北１丁目１番地１,西二条北1-1-1,"名寄市,北海道/名寄市/西二条/北一丁目/１番地""",,,142.46086,44.35700,5.0,7.0
13.0,北海道警察旭川方面本部,北海道,5.0,枝幸,エサシ,枝幸警察署,0163-62-0110,985807.0,枝幸郡,枝幸町,15148.0,枝幸郡枝幸町本町705番地２,本町705-2,",北海道/枝幸郡/枝幸町/本町/７０５番地"",北海道/枝幸郡/枝幸町/本町/７０５番地""",,,142.58260,44.9397,5.0,7.0
13.0,北海道警察旭川方面本部,北海道,7.0,富良野,フラノ,富良野警察署,0167-22-0110,760022.0,,富良野市,12297.0,富良野市若葉町11番１号,若葉町11-1,"富良野市,北海道/富良野市/若葉町/１１番""",,,142.39046,43.33915,5.0,7.0
13.0,北海道警察旭川方面本部,北海道,8.0,深川,フカガワ,深川警察署,0164-23-0110,740005.0,,深川市,12289.0,深川市五条１番12号,五条1-12,"深川市,北海道/深川市/五条/１番""",,,142.03268,43.71452,5.0,7.0
13.0,北海道警察旭川方面本部,北海道,9.0,留萌,ルモイ,留萌警察署,0164-42-0110,770021.0,,留萌市,12122.0,留萌市高砂町三丁目５番１号,高砂町3-5-1,"留萌市,北海道/留萌市/高砂町/三丁目/５番""",,,141.65590,43.93837,5.0,7.0
13.0,北海道警察旭川方面本部,北海道,10.0,羽幌,ハボロ,羽幌警察署,0164-62-1110,784104.0,苫前郡,羽幌町,14842.0,苫前郡羽幌町南四条四丁目13番地,南四条4-13,苫前郡　羽幌町、苫前町、初山別村  ,,北海道/苫前郡/羽幌町/南四条/四丁目/１３番地,141.70166,44.36339,5.0,7.0
13.0,北海道警察旭川方面本部,北海道,11.0,天塩,テシオ,天塩警察署,01632-2-2110,983303.0,天塩郡,天塩町,14877.0,天塩郡天塩町新栄通九丁目,新栄通9,天塩郡　天塩町、遠別町、幌延町、豊富町 ,,北海道/天塩郡/天塩町/新栄通/九丁目,141.74397,44.88934,5.0,6.0
14.0,北海道警察釧路方面本部,北海道,1.0,釧路,クシロ,釧路警察署,0154-23-0110,850018.0,,釧路市,12068.0,釧路市黒金町十丁目５番地１,黒金町10-5-1,"釧路市,北海道/釧路市/黒金町/十丁目/５番地""",,,144.38112,42.98677,5.0,7.0
14.0,北海道警察釧路方面本部,北海道,2.0,厚岸,アッケシ,厚岸警察署,0153-52-0110,881151.0,厚岸郡,厚岸町,16624.0,厚岸郡厚岸町真栄一丁目７番地,真栄1-7,厚岸郡　厚岸町、浜中町,,北海道/厚岸郡/厚岸町/真栄/一丁目/７番地,144.84378,43.05556,5.0,7.0
14.0,北海道警察釧路方面本部,北海道,3.0,弟子屈,テシカガ,弟子屈警察署,015-482-2110,883211.0,川上郡,弟子屈町,16659.0,川上郡弟子屈町中央二丁目９番28号,中央2-9-28,川上郡　弟子屈町、標茶町,,北海道/川上郡/弟子屈町/中央/二丁目/９番,144.45926,43.48441,5.0,7.0
14.0,北海道警察釧路方面本部,北海道,4.0,根室,ネムロ,根室警察署,0153-24-0110,870009.0,,根室市,12238.0,根室市弥栄町一丁目17番地,弥栄町1-17,根室市,,北海道/根室市/弥栄町/一丁目/１７番地,145.58424,43.33212,5.0,7.0
14.0,北海道警察釧路方面本部,北海道,5.0,中標津,ナカシベツ,中標津警察署,0153-72-0110,861105.0,標津郡,中標津町,16926.0,標津郡中標津町西五条南一丁目２番地４,西五条南1-2-4,"標津郡　中標津町、標津町,北海道/標津郡/中標津町/西五条/南一丁目/２番地""",,,144.96791,43.54491,5.0,7.0
14.0,北海道警察釧路方面本部,北海道,6.0,池田,イケダ,池田警察署,015-572-0110,830023.0,中川郡,池田町,16446.0,中川郡池田町字西三条六丁目10番地の１,字西三条6-10-1,"中川郡の内　池田町、豊頃町,北海道/中川郡/池田町/西三条/六丁目/１０番地""",,,143.44662,42.92691,5.0,7.0
14.0,北海道警察釧路方面本部,北海道,7.0,本別,ホンベツ,本別警察署,0156-22-0110,893334.0,中川郡,本別町,16462.0,中川郡本別町北一丁目４番地20,北1-4-20,"中川郡の内　本別町,北海道/中川郡/本別町/北/一丁目/４番地""",,,143.61047,43.12310,5.0,7.0
14.0,北海道警察釧路方面本部,北海道,8.0,帯広,オビヒロ,帯広警察署,0155-25-0110,800031.0,,帯広市,12076.0,帯広市西一条北一丁目１番地,西一条北1-1,"帯広市,北海道/帯広市/西一条/北一丁目/１番地""",,,143.20230,42.93246,5.0,7.0
14.0,北海道警察釧路方面本部,北海道,9.0,新得,シントク,新得警察署,0156-64-0110,810014.0,上川郡,新得町,16357.0,上川郡新得町四条南六丁目１番地２,四条南6-1-2,"上川郡　新得町、清水町,北海道/上川郡/新得町/四条/南六丁目/１番地""",,,142.84094,43.07699,5.0,7.0
14.0,北海道警察釧路方面本部,北海道,10.0,広尾,ヒロオ,広尾警察署,01558-2-0110,892624.0,広尾郡,広尾町,16420.0,広尾郡広尾町並木通東一丁目２番地３,並木通東1-2-3,広尾郡　広尾町、大樹町,,北海道/広尾郡/広尾町/並木通東/一丁目/２番地,143.31357,42.29535,5.0,7.0
15.0,北海道警察北見方面本部,北海道,1.0,北見,キタミ,北見警察署,0157-24-0110,900018.0,,北見市,12084.0,北見市青葉町６番１号,青葉町6-1,"北見市,北海道/北見市/青葉町/６番""",,,143.89929,43.81379,5.0,7.0
15.0,北海道警察北見方面本部,北海道,2.0,遠軽,エンガル,遠軽警察署,0158-42-0110,990404.0,紋別郡,遠軽町,15555.0,紋別郡遠軽町大通北五丁目１番地40,大通北5-1-40,"紋別郡の内　遠軽町、湧別町,北海道/紋別郡/遠軽町/大通北/五丁目/１番地""",,,143.52463,44.06581,5.0,7.0
15.0,北海道警察北見方面本部,北海道,3.0,網走,アバシリ,網走警察署,0152-43-0110,930006.0,,網走市,12114.0,網走市南六条東五丁目１番地の１,南六条東5-1-1,"網走市,北海道/網走市/南六条/東五丁目/１番地""",,,144.27473,44.02055,5.0,7.0
15.0,北海道警察北見方面本部,北海道,4.0,美幌,ビホロ,美幌警察署,0152-72-0110,920031.0,網走郡,美幌町,15431.0,網走郡美幌町字大通南一丁目19番地,字大通南1-19,網走郡の内　美幌町、津別町,,北海道/網走郡/美幌町/大通南/一丁目/１９番地,144.10236,43.8228,5.0,7.0
15.0,北海道警察北見方面本部,北海道,5.0,斜里,シャリ,斜里警察署,0152-23-0110,994113.0,斜里郡,斜里町,15458.0,斜里郡斜里町本町43番地６,本町43-6,斜里郡　斜里町、小清水町、清里町,,北海道/斜里郡/斜里町/本町/４３番地,144.66638,43.9133,5.0,7.0
15.0,北海道警察北見方面本部,北海道,6.0,紋別,モンベツ,紋別警察署,0158-23-0110,940013.0,,紋別市,12190.0,紋別市南が丘町一丁目５番16号,南が丘町1-5-16,"紋別市,北海道/紋別市/南が丘町/一丁目/５番""",,,143.35382,44.34568,5.0,7.0
15.0,北海道警察北見方面本部,北海道,7.0,興部,オコッペ,興部警察署,0158-82-2110,981605.0,紋別郡,興部町,15610.0,紋別郡興部町字興部755番地の３,字興部755-3,紋別郡の内　興部町、雄武町、西興部村,,北海道/紋別郡/興部町/興部,143.1151,44.47585,5.0,5.0
20.0,青森県警察本部,青森県,1.0,青森,アオモリ,青森警察署,017-723-0110,300803.0,,青森市,22012.0,青森市安方二丁目15番９号,安方2-15-9,"青森市の内　青森南警察署の管轄区域を除く区域,青森県/青森市/安方/二丁目/１５番""",,,140.74507,40.82819,5.0,7.0
20.0,青森県警察本部,青森県,2.0,青森南,アオモリミナミ,青森南警察署,0172-62-4021,381311.0,,青森市,22012.0,青森市浪岡大字浪岡字淋城87番地１,浪岡大字浪岡字淋城87-1,青森市の内　浪岡の区域（青森空港の区域を除く）,,青森県/青森市/浪岡大字浪岡/淋城/８７番地,140.59155,40.71724,5.0,7.0
20.0,青森県警察本部,青森県,3.0,外ヶ浜,ソトガハマ,外ヶ浜警察署,0174-22-2211,301302.0,東津軽郡,外ヶ浜町,23078.0,東津軽郡外ヶ浜町字蟹田中師苗代沢３番地,字蟹田中師苗代沢3,東津軽郡の内　外ヶ浜町、今別町、蓬田村,,青森県/東津軽郡/外ヶ浜町/蟹田中師苗代沢/３番地,140.63686,41.04752,5.0,7.0
20.0,青森県警察本部,青森県,4.0,大間,オオマ,大間警察署,0175-37-2211,394601.0,下北郡,大間町,24236.0,下北郡大間町大字大間字大間平20番地91,大字大間字大間平20-91,下北郡の内　大間町、佐井村、風間浦村,,青森県/下北郡/大間町/大間,140.92033,41.52702,5.0,5.0
20.0,青森県警察本部,青森県,5.0,むつ,ムツ,むつ警察署,0175-22-1321,350073.0,,むつ市,22080.0,むつ市中央一丁目19番１号,中央1-19-1,"むつ市,青森県/むつ市/中央/一丁目/１９番""",,,141.18184,41.29441,5.0,7.0
20.0,青森県警察本部,青森県,6.0,野辺地,ノヘジ,野辺地警察署,0175-64-2121,393163.0,上北郡,野辺地町,24015.0,上北郡野辺地町字新町裏１番地１,字新町裏1-1,上北郡の内　野辺地町、横浜町、東北町（東北町、三沢市及び六ケ所村のそれぞれの境界線の交点から六ケ所村大字倉内字前田75番10地先までの東北町と六ケ所村の境界線からこの境界線に平行に小川原湖側へ500メートル進んだ線までの水域）、六ケ所村,,青森県/上北郡/野辺地町/新町裏/１番地,141.12227,40.86638,5.0,7.0
20.0,青森県警察本部,青森県,7.0,弘前,ヒロサキ,弘前警察署,0172-32-0111,368057.0,,弘前市,22021.0,弘前市大字八幡町三丁目３番地２,大字八幡町3-3-2,"弘前市,青森県/弘前市/八幡町/三丁目/３番""",,,140.48468,40.61689,5.0,7.0
20.0,青森県警察本部,青森県,8.0,鰺ケ沢,アジガサワ,鰺ケ沢警察署,0173-72-2151,382753.0,西津軽郡,鰺ヶ沢町,23213.0,西津軽郡鰺ヶ沢町大字本町207番地,大字本町207,西津軽郡　鰺ヶ沢町、深浦町,,青森県/西津軽郡/鰺ヶ沢町/本町/２０７番地,140.20801,40.78012,5.0,7.0
20.0,青森県警察本部,青森県,9.0,つがる,ツガル,つがる警察署,0173-42-3150,383142.0,,つがる市,22098.0,つがる市木造赤根１番地４,木造赤根1-4,つがる市,,青森県/つがる市/木造赤根/１番地,140.39514,40.80952,5.0,7.0
20.0,青森県警察本部,青森県,10.0,五所川原,ゴショガワラ,五所川原警察署,0173-35-2141,370046.0,,五所川原市,22055.0,五所川原市栄町６番地１,栄町6-1,"五所川原市,青森県/五所川原市/栄町/６番地""",,,140.44461,40.79757,5.0,7.0
20.0,青森県警察本部,青森県,11.0,黒石,クロイシ,黒石警察署,0172-52-2311,360541.0,,黒石市,22047.0,黒石市北美町二丁目47番地１,北美町2-47-1,"黒石市,青森県/黒石市/北美町/二丁目/４７番地""",,,140.60532,40.65338,5.0,7.0
20.0,青森県警察本部,青森県,12.0,八戸,ハチノヘ,八戸警察署,0178-43-4141,310072.0,,八戸市,22039.0,八戸市城下一丁目16番25号,城下1-16-25,"八戸市,青森県/八戸市/城下/一丁目/１６番""",,,141.49174,40.51730,5.0,7.0
20.0,青森県警察本部,青森県,13.0,三戸,サンノヘ,三戸警察署,0179-22-1135,390141.0,三戸郡,三戸町,24414.0,三戸郡三戸町大字川守田字関根４番地３,大字川守田字関根4-3,三戸郡の内　三戸町、田子町、南部町,,青森県/三戸郡/三戸町/大字川守田/関根/４番地,141.25526,40.3811,5.0,7.0
20.0,青森県警察本部,青森県,14.0,五戸,ゴノヘ,五戸警察署,0178-62-3241,391518.0,三戸郡,五戸町,24422.0,三戸郡五戸町字下モ沢向13番地６,字下モ沢向13-6,三戸郡の内　五戸町、新郷村,,青森県/三戸郡/五戸町/下モ沢向/１３番地,141.30405,40.52399,5.0,7.0
20.0,青森県警察本部,青森県,15.0,十和田,トワダ,十和田警察署,0176-23-3195,340038.0,,十和田市,22063.0,十和田市西六番町１番41号,西六番町1-41,"十和田市,青森県/十和田市/西六番町/１番""",,,141.22037,40.60083,5.0,7.0
20.0,青森県警察本部,青森県,16.0,七戸,シチノヘ,七戸警察署,0176-62-3101,392502.0,上北郡,七戸町,24023.0,上北郡七戸町字大沢57番地49,字大沢57-49,上北郡の内　七戸町（青森警察署の管轄区域を除く）、東北町（野辺地警察署及び三沢警察署の管轄区域を除く）,,青森県/上北郡/七戸町/大沢/５７番地,141.15669,40.71389,5.0,7.0
20.0,青森県警察本部,青森県,17.0,三沢,ミサワ,三沢警察署,0176-53-3145,330012.0,,三沢市,22071.0,三沢市平畑一丁目１番38号,平畑1-1-38,"三沢市,青森県/三沢市/平畑/一丁目/１番""",,,141.36687,40.68718,5.0,7.0
30.0,岩手県警察本部,岩手県,1.0,盛岡東,モリオカヒガシ,盛岡東警察署,019-606-0110,200023.0,,盛岡市,32018.0,盛岡市内丸３番40号,内丸3-40,盛岡市の内　盛岡西警察署の管轄区域を除く区域,,岩手県/盛岡市/内丸/３番,141.15347,39.70185,5.0,7.0
30.0,岩手県警察本部,岩手県,2.0,盛岡西,モリオカニシ,盛岡西警察署,019-645-0110,200133.0,,盛岡市,32018.0,盛岡市青山三丁目37番１号,青山3-37-1,"盛岡市の内　北上川の中心線、雫石川の中心線（延長線を含む。）及び盛岡市と滝沢市との境界線により囲まれた区域、繋,岩手県/盛岡市/青山/三丁目/３７番""",,,141.11111,39.72836,5.0,7.0
30.0,岩手県警察本部,岩手県,3.0,岩手,イワテ,岩手警察署,0195-62-0110,284393.0,岩手郡,岩手町,33031.0,岩手郡岩手町大字五日市第11地割53番地３,大字五日市11-53-3,"八幡平市,岩手県/岩手郡/岩手町/大字五日市/第十一地割/５３番地""",,,141.21042,39.96453,5.0,7.0
30.0,岩手県警察本部,岩手県,4.0,紫波,シワ,紫波警察署,019-671-0110,283307.0,紫波郡,紫波町,33219.0,紫波郡紫波町桜町字大坪51番地２,桜町字大坪51-2,紫波郡　紫波町、矢巾町,,岩手県/紫波郡/紫波町/桜町/大坪/５１番地,141.16861,39.54863,5.0,7.0
30.0,岩手県警察本部,岩手県,5.0,花巻,ハナマキ,花巻警察署,0198-23-0110,250063.0,,花巻市,32051.0,花巻市下小舟渡309番地２,下小舟309-2,花巻市,,岩手県/花巻市/下小舟渡/３０９番地,141.12224,39.39228,5.0,7.0
30.0,岩手県警察本部,岩手県,6.0,北上,キタカミ,北上警察署,0197-61-0110,240063.0,,北上市,32069.0,北上市九年橋三丁目16番10号,九年橋3-16-10,"北上市,岩手県/北上市/九年橋/三丁目/１６番""",,,141.10811,39.28370,5.0,7.0
30.0,岩手県警察本部,岩手県,7.0,奥州,オウシュウ,奥州警察署,0197-25-0110,230841.0,,奥州市,32158.0,奥州市水沢真城字北塩加羅37番地３,水沢真城字北塩加羅37-3,"奥州市,岩手県/奥州市/水沢真城/北塩加羅/３７番地""",,,141.15071,39.13077,5.0,7.0
30.0,岩手県警察本部,岩手県,8.0,一関,イチノセキ,一関警察署,0191-21-0110,210051.0,,一関市,32093.0,一関市山目字三反田30番地,山目字三反田30,"一関市の内　千厩警察署の管轄区域を除く区域,岩手県/一関市/山目/三反田/３０番地""",,,141.11969,38.93449,5.0,7.0
