都道府県名,警察署名称,交番・駐在所頭名,交番・駐在所頭名（フリガナ）,交番・駐在所の別,名称,【名称】○○警察署＋■■交番、△△駐在所,電話番号,郵便番号,郡,市区町村,全国地方公共団体コード,全体表記,町又は大字以降,LocName,Longitude,Latitude,isTrustful,iLvl
北海道,東警察署,札苗,サツナエ,交番,札苗交番,東警察署札苗交番,011-791-1141,70808,,札幌市東区,11037,札幌市東区東苗穂8条3-3-17,東苗穂8条3-3-17,北海道/札幌市/東区/東苗穂八条/三丁目/３番,141.41560,43.09660,5,7
北海道,東警察署,丘珠,オカダマ,交番,丘珠交番,東警察署丘珠交番,011-781-6215,70835,,札幌市東区,11037,札幌市東区北35条東26-3-17,北35条東26-3-17,北海道/札幌市/東区/北三十五条/東二十六丁目/３番,141.38750,43.10280,5,7
北海道,東警察署,東苗穂,ヒガシナエボ,交番,東苗穂交番,東警察署東苗穂交番,011-781-6198,70801,,札幌市東区,11037,札幌市東区東苗穂1条3-3-54,東苗穂1条3-3-54,北海道/札幌市/東区/東苗穂一条/三丁目/３番,141.40190,43.07901,5,7
北海道,東警察署,苗穂,ナエボ,交番,苗穂交番,東警察署苗穂交番,011-741-0048,650006,,札幌市東区,11037,札幌市東区北6条東19-1-35,北6条東19-1-35,北海道/札幌市/東区/北六条/東十九丁目/１番,141.38409,43.07594,5,7
北海道,西警察署,円山,マルヤマ,交番,円山交番,西警察署円山交番,011-611-0677,640822,,札幌市中央区,11011,札幌市中央区北2条西24-26-4,北2条西24-26-4,北海道/札幌市/中央区/北二条/西二十四丁目,141.32022,43.05958,5,6
北海道,西警察署,宮の森,ミヤノモリ,交番,宮の森交番,西警察署宮の森交番,011-611-0687,640952,,札幌市中央区,11011,札幌市中央区宮の森2条11-1-1,宮の森2条11-1-1,北海道/札幌市/中央区/宮の森二条/十一丁目/１番,141.30283,43.05643,5,7
北海道,西警察署,琴似本通,コトニホンドオリ,交番,琴似本通交番,西警察署琴似本通交番,011-621-1263,630003,,札幌市西区,11070,札幌市西区山の手3条1-3-26,山の手3条1-3-26,北海道/札幌市/西区/山の手三条/一丁目/３番,141.29884,43.07299,5,7
北海道,西警察署,二十四軒,ニジュウヨンケン,交番,二十四軒交番,西警察署二十四軒交番,011-621-2006,630802,,札幌市西区,11070,札幌市西区二十四軒2条3-2-26,二十四軒2条3-2-26,北海道/札幌市/西区/二十四軒二条/三丁目/２番,141.31294,43.07385,5,7
北海道,西警察署,琴似駅前,コトニエキマエ,交番,琴似駅前交番,西警察署琴似駅前交番,011-611-1766,630861,,札幌市西区,11070,札幌市西区八軒1条東1-5-8,八軒1条東1-5-8,北海道/札幌市/西区/八軒一条/東一丁目/５番,141.31010,43.08204,5,7
北海道,西警察署,八軒,ハチケン,交番,八軒交番,西警察署八軒交番,011-642-4621,630846,,札幌市西区,11070,札幌市西区八軒6条西6-1-1,八軒6条西6-1-1,北海道/札幌市/西区/八軒六条/西六丁目/１番,141.30792,43.09190,5,7
北海道,西警察署,発寒,ハッサム,交番,発寒交番,西警察署発寒交番,011-661-1811,630830,,札幌市西区,11070,札幌市西区発寒10条3-1-39,発寒10条3-1-39,北海道/札幌市/西区/発寒十条/三丁目/１番,141.29507,43.09022,5,7
北海道,西警察署,鉄工団地,テッコウダンチ,交番,鉄工団地交番,西警察署鉄工団地交番,011-663-1102,630833,,札幌市西区,11070,札幌市西区発寒13条5-2-39,発寒13条5-2-39,北海道/札幌市/西区/発寒十三条/五丁目/２番,141.28949,43.10006,5,7
北海道,西警察署,西町,ニシマチ,交番,西町交番,西警察署西町交番,011-661-0813,630061,,札幌市西区,11070,札幌市西区西町北6-1-8,西町北6-1-8,北海道/札幌市/西区/西町北/六丁目/１番,141.28937,43.07932,5,7
北海道,西警察署,西野,ニシノ,交番,西野交番,西警察署西野交番,011-662-1526,630039,,札幌市西区,11070,札幌市西区西野9条4-6-37,西野9条4-6-37,北海道/札幌市/西区/西野九条/四丁目/６番,141.26553,43.06239,5,7
北海道,南警察署,南九条,ミナミ9ジョウ,交番,南九条交番,南警察署南九条交番,011-511-1062,640809,,札幌市中央区,11011,札幌市中央区南9西7,南9西7,北海道/札幌市/中央区/南九西七丁目,141.34900,43.04797,5,0
北海道,南警察署,中島,ナカジマ,交番,中島交番,南警察署中島交番,011-531-2022,640809,,札幌市中央区,11011,札幌市中央区中島公園1-25,中島公園1-25,北海道/札幌市/中央区/中島公園/１番,141.35170,43.04519,5,7
北海道,南警察署,幌西,コウサイ,交番,幌西交番,南警察署幌西交番,011-561-3520,640811,,札幌市中央区,11011,札幌市中央区南11西15,南11西15,北海道/札幌市/中央区/南十一西一丁目,141.35742,43.04584,4,0
北海道,南警察署,伏見,フシミ,交番,伏見交番,南警察署伏見交番,011-551-5474,640915,,札幌市中央区,11011,札幌市中央区南15西18,南15西18,北海道/札幌市/中央区/南十五西一丁目,141.35681,43.04057,4,0
北海道,南警察署,山鼻,ヤマハナ,交番,山鼻交番,南警察署山鼻交番,011-511-5979,640923,,札幌市中央区,11011,札幌市中央区南23西10,南23西10,北海道/札幌市/中央区/南二十三西十丁目,141.34589,43.02884,5,0
北海道,南警察署,行啓通,ギョウケイドオリ,交番,行啓通交番,南警察署行啓通交番,011-511-1774,640914,,札幌市中央区,11011,札幌市中央区南14西10,南14西10,北海道/札幌市/中央区/南十四西十丁目,141.34431,43.04101,5,0
北海道,南警察署,真駒内,マコマナイ,交番,真駒内交番,南警察署真駒内交番,011-581-2360,50018,,札幌市南区,11061,札幌市南区真駒内曙町1,真駒内曙町1,北海道/札幌市/南区/真駒内曙町/一丁目,141.35078,43.00230,5,6
北海道,南警察署,真駒内団地,マコマナイダンチ,交番,真駒内団地交番,南警察署真駒内団地交番,011-581-4661,50014,,札幌市南区,11061,札幌市南区真駒内幸町2,真駒内幸町2,北海道/札幌市/南区/真駒内幸町/二丁目,141.35423,42.99007,5,6
北海道,南警察署,澄川,スミカワ,交番,澄川交番,南警察署澄川交番,011-831-3815,50004,,札幌市南区,11061,札幌市南区澄川4-4,澄川4-4,北海道/札幌市/南区/澄川四条/四丁目,141.36784,43.01229,5,6
北海道,南警察署,藤野,フジノ,交番,藤野交番,南警察署藤野交番,011-591-2188,612282,,札幌市南区,11061,札幌市南区藤野2-6-5-2,藤野2-6-5-2,北海道/札幌市/南区/藤野二条/六丁目/５番,141.29601,42.96199,5,7
北海道,南警察署,石山,イシヤマ,交番,石山交番,南警察署石山交番,011-591-8351,50841,,札幌市南区,11061,札幌市南区石山1-3-1-1,石山1-3-1-1,北海道/札幌市/南区/石山一条/三丁目/１番,141.33611,42.96926,5,7
北海道,南警察署,北ノ沢,キタノサワ,交番,北ノ沢交番,南警察署北ノ沢交番,011-571-9520,50802,,札幌市南区,11061,札幌市南区川沿2-5,川沿2-5,北海道/札幌市/南区/川沿二条/五丁目,141.32491,42.99892,5,6
北海道,南警察署,藻南,モナミ,交番,藻南交番,南警察署藻南交番,011-571-6134,50809,,札幌市南区,11061,札幌市南区川沿9-1,川沿9-1,北海道/札幌市/南区/川沿九条/一丁目,141.33543,42.98553,5,6
北海道,南警察署,定山渓,ジョウザンケイ,交番,定山渓交番,南警察署定山渓交番,011-598-2151,612302,,札幌市南区,11061,札幌市南区定山渓温泉東3,定山渓温泉東3,北海道/札幌市/南区/定山渓温泉東/三丁目,141.16701,42.96585,5,6
北海道,北警察署,札幌駅北口,サッポロエキキタグチ,交番,札幌駅北口交番,北警察署札幌駅北口交番,011-736-9820,600807,,札幌市北区,11029,札幌市北区北7条西3,北7条西3,北海道/札幌市/北区/北七条/西三丁目,141.35056,43.06971,5,6
北海道,北警察署,北二十条,キタニジュウジョウ,交番,北二十条交番,北警察署北二十条交番,011-746-4361,10020,,札幌市北区,11029,札幌市北区北20条西5-2-45,北20条西5-2-45,北海道/札幌市/北区/北二十条/西五丁目/２番,141.34311,43.08519,5,7
北海道,北警察署,麻生,アサブ,交番,麻生交番,北警察署麻生交番,011-758-7521,10039,,札幌市北区,11029,札幌市北区北39条西5-335-5,北39条西5-335-5,北海道/札幌市/北区/北三十九条/西五丁目,141.33768,43.10722,5,6
北海道,北警察署,北三十条,キタサンジュウジョウ,交番,北三十条交番,北警察署北三十条交番,011-716-3784,10030,,札幌市北区,11029,札幌市北区北30条西7,北30条西7,北海道/札幌市/北区/北三十条/西七丁目,141.33749,43.09630,5,6
北海道,北警察署,新川,シンカワ,交番,新川交番,北警察署新川交番,011-756-4176,10026,,札幌市北区,11029,札幌市北区北26条西17-196-1,北26条西17-196-1,北海道/札幌市/北区/北二十六条/西十七丁目,141.32314,43.09489,5,6
北海道,北警察署,新琴似,シンコトニ,交番,新琴似交番,北警察署新琴似交番,011-761-4567,10907,,札幌市北区,11029,札幌市北区新琴似8条4-670-1,新琴似8条4-670-1,北海道/札幌市/北区/新琴似八条/四丁目,141.33046,43.11448,5,6
北海道,北警察署,新琴似西,シンコトニニシ,交番,新琴似西交番,北警察署新琴似西交番,011-763-1101,10907,,札幌市北区,11029,札幌市北区新琴似7条14-743-23,新琴似7条14-743-23,北海道/札幌市/北区/新琴似七条/十四丁目,141.31207,43.12236,5,6
北海道,北警察署,新光,シンコウ,交番,新光交番,北警察署新光交番,011-762-9442,10901,,札幌市北区,11029,札幌市北区新琴似1条12-6-43,新琴似1条12-6-43,北海道/札幌市/北区/新琴似一条/十二丁目/６番,141.30846,43.11183,5,7
北海道,北警察署,篠路,シノロ,交番,篠路交番,北警察署篠路交番,011-771-2018,28024,,札幌市北区,11029,札幌市北区篠路4条7-2-47,篠路4条7-2-47,北海道/札幌市/北区/篠路四条/七丁目/２番,141.36514,43.14584,5,7
北海道,北警察署,あいの里,アイノサト,交番,あいの里交番,北警察署あいの里交番,011-778-5420,28071,,札幌市北区,11029,札幌市北区あいの里1条6-1-3,あいの里1条6-1-3,北海道/札幌市/北区/あいの里一条/六丁目/１番,141.40099,43.15551,5,7
北海道,北警察署,茨??戸,バラト,交番,茨??戸交番,北警察署茨??戸交番,011-771-0100,28043,,札幌市北区,11029,札幌市北区東茨戸46-2,東茨戸46-2,北海道/札幌市/北区/東茨戸/４６番地,141.35995,43.16203,5,7
北海道,北警察署,屯田,トンデン,交番,屯田交番,北警察署屯田交番,011-771-2727,20854,,札幌市北区,11029,札幌市北区屯田4条３ー159,屯田4条３ー159,北海道/札幌市/北区/屯田四条/三丁目,141.33820,43.12849,5,6
北海道,北警察署,太平,タイヘイ,交番,太平交番,北警察署太平交番,011-771-4888,28009,,札幌市北区,11029,札幌市北区太平9条5-84,太平9条5-84,北海道/札幌市/北区/太平九条/五丁目,141.35652,43.13399,5,6
北海道,北警察署,花川南,ハナカワミナミ,交番,花川南交番,北警察署花川南交番,0133-73-0110,613205,,石狩市,12351,石狩市花川南5条2-193,花川南5条2-193,北海道/石狩市/花川南五条/二丁目/１９３番地,141.29211,43.14822,5,7
北海道,北警察署,花川北,ハナカワキタ,交番,花川北交番,北警察署花川北交番,0133-74-5092,613213,,石狩市,12351,石狩市花川北3条2-198-2,花川北3条2-198-2,北海道/石狩市/花川北三条/二丁目/１９８番地,141.30872,43.16447,5,7
北海道,北警察署,当別,トウベツ,交番,当別交番,北警察署当別交番,0133-23-2151,610223,石狩郡,当別町,13030,当別町弥生53-43,弥生53-43,北海道/石狩郡/当別町/弥生/５３番地,141.51472,43.22007,5,7
北海道,北警察署,太美,フトミ,交番,太美交番,北警察署太美交番,0133-26-2151,613776,石狩郡,当別町,13030,当別町太美町1483,太美町1483,北海道/石狩郡/当別町/太美町/１４８３番地,141.44308,43.18956,5,7
北海道,白石警察署,東札幌,ヒガシサッポロ,交番,東札幌交番,白石警察署東札幌交番,011-841-0892,30044,,札幌市白石区,11045,札幌市白石区東札幌4条3,東札幌4条3,北海道/札幌市/白石区/東札幌四条/三丁目,141.38954,43.05179,5,6
北海道,白石警察署,菊水,キクスイ,交番,菊水交番,白石警察署菊水交番,011-811-2414,30803,,札幌市白石区,11045,札幌市白石区菊水3条1-4-20,菊水3条1-4-20,北海道/札幌市/白石区/菊水三条/一丁目/４番,141.37044,43.05938,5,7
北海道,白石警察署,東橋,アズマバシ,交番,東橋交番,白石警察署東橋交番,011-821-5360,30811,,札幌市白石区,11045,札幌市白石区菊水上町1条3-52,菊水上町1条3-52,北海道/札幌市/白石区/菊水上町一条/三丁目/５２番地,141.38687,43.06213,5,7
北海道,白石警察署,南郷,ナンゴウ,交番,南郷交番,白石警察署南郷交番,011-864-3984,30022,,札幌市白石区,11045,札幌市白石区南郷通6-南1,南郷通6-南1,北海道/札幌市/白石区/南郷通六丁目北,141.40936,43.04206,5,5
北海道,白石警察署,白石中央,シロイシチュウオウ,交番,白石中央交番,白石警察署白石中央交番,011-861-4009,30027,,札幌市白石区,11045,札幌市白石区本通2-北7,本通2-北7,北海道/札幌市/白石区/本通二丁目南,141.40549,43.05008,5,5
北海道,白石警察署,東白石,ヒガシシロイシ,交番,東白石交番,白石警察署東白石交番,011-861-2970,30026,,札幌市白石区,11045,札幌市白石区本通16-南4-19,本通16-南4-19,北海道/札幌市/白石区/本通十六丁目北,141.43338,43.03778,5,5
北海道,白石警察署,北郷,キタゴウ,交番,北郷交番,白石警察署北郷交番,011-873-2971,30833,,札幌市白石区,11045,札幌市白石区北郷3条5-3-13,北郷3条5-3-13,北海道/札幌市/白石区/北郷三条/五丁目/３番,141.41817,43.05804,5,7
北海道,白石警察署,北都,ホクト,交番,北都交番,白石警察署北都交番,011-871-0793,30834,,札幌市白石区,11045,札幌市白石区北郷4条13-3-12,北郷4条13-3-12,北海道/札幌市/白石区/北郷四条/十三丁目/３番,141.44048,43.05283,5,7
北海道,白石警察署,菊水元町,キクスイモトマチ,交番,菊水元町交番,白石警察署菊水元町交番,011-871-0110,30828,,札幌市白石区,11045,札幌市白石区菊水元町8条2-17-1,菊水元町8条2-17-1,北海道/札幌市/白石区/菊水元町八条/二丁目/１７番,141.41231,43.07337,5,7
北海道,豊平警察署,旭,アサヒ,交番,旭交番,豊平警察署旭交番,011-811-1747,620902,,札幌市豊平区,11053,札幌市豊平区豊平8条8-2,豊平8条8-2,北海道/札幌市/豊平区/豊平八条/八丁目/２番,141.37022,43.04436,5,7
北海道,豊平警察署,豊平,トヨヒラ,交番,豊平交番,豊平警察署豊平交番,011-841-1019,620903,,札幌市豊平区,11053,札幌市豊平区豊平3条7-2,豊平3条7-2,北海道/札幌市/豊平区/豊平三条/七丁目/２番,141.37485,43.05001,5,7
北海道,豊平警察署,美園,ミソノ,交番,美園交番,豊平警察署美園交番,011-841-1029,620003,,札幌市豊平区,11053,札幌市豊平区美園3条4,美園3条4,北海道/札幌市/豊平区/美園三条/四丁目,141.38661,43.04208,5,6
北海道,豊平警察署,平岸,ヒラギシ,交番,平岸交番,豊平警察署平岸交番,011-821-0472,620933,,札幌市豊平区,11053,札幌市豊平区平岸3条7,平岸3条7,北海道/札幌市/豊平区/平岸三条/七丁目,141.37128,43.03519,5,6
北海道,豊平警察署,中の島,ナカノシマ,交番,中の島交番,豊平警察署中の島交番,011-811-4454,620921,,札幌市豊平区,11053,札幌市豊平区中の島1条4,中の島1条4,北海道/札幌市/豊平区/中の島一条/四丁目,141.35831,43.03336,5,6
北海道,豊平警察署,南平岸,ミナミヒラギシ,交番,南平岸交番,豊平警察署南平岸交番,011-821-0039,620933,,札幌市豊平区,11053,札幌市豊平区平岸3条13,平岸3条13,北海道/札幌市/豊平区/平岸三条/十三丁目,141.36972,43.02719,5,6
北海道,豊平警察署,東月寒,ヒガシツキサム,交番,東月寒交番,豊平警察署東月寒交番,011-851-8061,620053,,札幌市豊平区,11053,札幌市豊平区月寒東3条17-231-44,月寒東3条17-231-44,北海道/札幌市/豊平区/月寒東三条/十七丁目,141.42099,43.02166,5,6
北海道,豊平警察署,月寒,ツキサム,交番,月寒交番,豊平警察署月寒交番,011-851-1026,620020,,札幌市豊平区,11053,札幌市豊平区月寒中央通7,月寒中央通7,北海道/札幌市/豊平区/月寒中央通/七丁目,141.39613,43.03077,5,6
北海道,豊平警察署,福住,フクズミ,交番,福住交番,豊平警察署福住交番,011-856-0110,620042,,札幌市豊平区,11053,札幌市豊平区福住2条5-4-6,福住2条5-4-6,北海道/札幌市/豊平区/福住二条/五丁目/４番,141.39870,43.01430,5,7
北海道,豊平警察署,西岡,ニシオカ,交番,西岡交番,豊平警察署西岡交番,011-853-3484,620034,,札幌市豊平区,11053,札幌市豊平区西岡4条9-1-16,西岡4条9-318,北海道/札幌市/豊平区/西岡四条/九丁目/１番,141.38573,43.00440,5,7
北海道,豊平警察署,中央通,チュウオウドオリ,交番,中央通交番,豊平警察署中央通交番,011-882-7140,40871,,札幌市清田区,11100,札幌市清田区平岡1条5-4-3,平岡1条5-4-3,北海道/札幌市/清田区/平岡一条/五丁目/４番,141.45148,42.99084,5,7
北海道,豊平警察署,緑ケ丘,ミドリガオカ,交番,緑ケ丘交番,豊平警察署緑ケ丘交番,011-883-4600,40805,,札幌市清田区,11100,札幌市清田区里塚緑ケ丘1-14-26,里塚緑ケ丘1-14-26,北海道/札幌市/清田区/里塚緑ケ丘/一丁目/１４番,141.47195,43.00150,5,7
北海道,豊平警察署,美しが丘,ウツクシガオカ,交番,美しが丘交番,豊平警察署美しが丘交番,011-881-0110,40813,,札幌市清田区,11100,札幌市清田区美しが丘3条4-1-33,美しが丘3条4-1-33,北海道/札幌市/清田区/美しが丘三条/四丁目/１番,141.45276,42.98239,5,7
北海道,豊平警察署,北野,キタノ,交番,北野交番,豊平警察署北野交番,011-881-3583,40864,,札幌市清田区,11100,札幌市清田区北野4条5-4-60,北野4条5-4-60,北海道/札幌市/清田区/北野四条/五丁目/４番,141.44754,43.01223,5,7
北海道,豊平警察署,清田,キヨタ,交番,清田交番,豊平警察署清田交番,011-881-2151,40841,,札幌市清田区,11100,札幌市清田区清田1条4-3-1,清田1条4-3-1,北海道/札幌市/清田区/清田一条/四丁目/３番,141.44057,43.00109,5,7
北海道,厚別警察署,ひばりが丘,ヒバリガオカ,交番,ひばりが丘交番,厚別警察署ひばりが丘交番,011-891-2840,40052,,札幌市厚別区,11088,札幌市厚別区厚別中央2条2-1-30,厚別中央2条2-1-30,北海道/札幌市/厚別区/厚別中央二条/二丁目/１番,141.45856,43.03323,5,7
北海道,厚別警察署,信濃,シナノ,交番,信濃交番,厚別警察署信濃交番,011-891-1527,40055,,札幌市厚別区,11088,札幌市厚別区厚別中央5条2-5-12,厚別中央5条2-5-12,北海道/札幌市/厚別区/厚別中央五条/二丁目/５番,141.46129,43.04257,5,7
北海道,厚別警察署,森林公園,シンリンコウエン,交番,森林公園交番,厚別警察署森林公園交番,011-894-5110,40074,,札幌市厚別区,11088,札幌市厚別区厚別北4条4-16,厚別北4条4-16,北海道/札幌市/厚別区/厚別北四条/四丁目/１６番,141.47687,43.06054,5,7
北海道,厚別警察署,新札幌,シンサッポロ,交番,新札幌交番,厚別警察署新札幌交番,011-891-0632,40051,,札幌市厚別区,11088,札幌市厚別区厚別中央1条5-2,厚別中央1条5-2,北海道/札幌市/厚別区/厚別中央一条/五丁目/２番,141.47266,43.03616,5,7
北海道,厚別警察署,上野幌,カミノッポロ,交番,上野幌交番,厚別警察署上野幌交番,011-893-5633,40031,,札幌市厚別区,11088,札幌市厚別区上野幌1条2-6-25,上野幌1条2-6-25,北海道/札幌市/厚別区/上野幌一条/二丁目/６番,141.47006,43.01948,5,7
北海道,厚別警察署,もみじ台,モミジダイ,交番,もみじ台交番,厚別警察署もみじ台交番,011-897-7567,40013,,札幌市厚別区,11088,札幌市厚別区もみじ台西4-2,もみじ台西4-2,北海道/札幌市/厚別区/もみじ台西/四丁目/２番,141.48854,43.03354,5,7
北海道,厚別警察署,北広島,キタヒロシマ,交番,北広島交番,厚別警察署北広島交番,011-372-3151,611121,,北広島市,12343,北広島市中央1-2-1,中央1-2-1,北海道/北広島市/中央/一丁目/２番,141.56483,42.98790,5,7
北海道,厚別警察署,北広島駅前,キタヒロシマエキマエ,交番,北広島駅前交番,厚別警察署北広島駅前交番,011-373-6495,611132,,北広島市,12343,北広島市北進町1-2ー13,北進町1-2ー13,北海道/北広島市/北進町/一丁目/２番,141.56218,42.98042,5,7
北海道,厚別警察署,大曲,オオマガリ,交番,大曲交番,厚別警察署大曲交番,011-377-3047,611271,,北広島市,12343,北広島市大曲中央２-4-2,大曲中央２-4-2,北海道/北広島市/大曲中央/二丁目/４番,141.47955,42.97173,5,7
北海道,手稲警察署,手稲,テイネ,交番,手稲交番,手稲警察署手稲交番,011-681-2151,60023,,札幌市手稲区,11096,札幌市手稲区手稲本町3条1-1-16,手稲本町3条1-1-16,北海道/札幌市/手稲区/手稲本町三条/一丁目/１番,141.24411,43.11489,5,7
北海道,手稲警察署,前田,マエダ,交番,前田交番,手稲警察署前田交番,011-682-1488,60815,,札幌市手稲区,11096,札幌市手稲区前田5条15-8-13,前田5条15-8-13,北海道/札幌市/手稲区/前田五条/十五丁目/８番,141.24416,43.13068,5,7
北海道,手稲警察署,手稲山口,テイネヤマグチ,交番,手稲山口交番,手稲警察署手稲山口交番,011-682-3713,60861,,札幌市手稲区,11096,札幌市手稲区明日風1-1-16,明日風1-1-16,北海道/札幌市/手稲区/明日風/一丁目/１番,141.23500,43.13931,5,7
北海道,手稲警察署,西宮の沢,ニシミヤノサワ,交番,西宮の沢交番,手稲警察署西宮の沢交番,011-661-4411,60004,,札幌市手稲区,11096,札幌市手稲区西宮の沢4条2-200-1,西宮の沢4条2-200-1,北海道/札幌市/手稲区/西宮の沢四条/二丁目,141.26016,43.09794,5,6
北海道,手稲警察署,稲積,イナヅミ,交番,稲積交番,手稲警察署稲積交番,011-694-3471,60805,,札幌市手稲区,11096,札幌市手稲区新発寒5条6-2-8,新発寒5条6-2-8,北海道/札幌市/手稲区/新発寒五条/六丁目/２番,141.26837,43.11681,5,7
北海道,手稲警察署,稲穂,イナホ,交番,稲穂交番,手稲警察署稲穂交番,011-682-1488,60033,,札幌市手稲区,11096,札幌市手稲区稲穂3条7-6-10,稲穂3条7-6-10,北海道/札幌市/手稲区/稲穂三条/七丁目/６番,141.21207,43.12830,5,7
北海道,手稲警察署,星置,ホシオキ,交番,星置交番,手稲警察署星置交番,011-694-0110,60851,,札幌市手稲区,11096,札幌市手稲区星置1条4-7-1,星置1条4-7-1,北海道/札幌市/手稲区/星置一条/四丁目/７番,141.20915,43.13374,5,7
北海道,江別警察署,駅前,エキマエ,交番,駅前交番,江別警察署駅前交番,011-382-2110,670012,,江別市,12173,江別市2条6-6-1,2条6-6-1,北海道/江別市/二条/六丁目/６番地,141.55751,43.11097,5,7
北海道,江別警察署,朝日,アサヒ,交番,朝日交番,江別警察署朝日交番,011-384-0066,670024,,江別市,12173,江別市朝日町8-４,朝日町8-４,北海道/江別市/朝日町/８番,141.57393,43.10669,5,7
北海道,江別警察署,野幌,ノッポロ,交番,野幌交番,江別警察署野幌交番,011-382-3449,690813,,江別市,12173,江別市野幌町82-2,野幌町82-2,北海道/江別市/野幌町/８２番,141.52151,43.09202,5,7
北海道,江別警察署,東野幌,ヒガシノッポロ,交番,東野幌交番,江別警察署東野幌交番,011-384-0004,690824,,江別市,12173,江別市東野幌本町７-1,東野幌本町７-1,北海道/江別市/東野幌本町/７番,141.53050,43.09074,5,7
北海道,江別警察署,大麻,オオアサ,交番,大麻交番,江別警察署大麻交番,011-386-8994,690854,,江別市,12173,江別市大麻中町26,大麻中町26,北海道/江別市/大麻中町/２６番,141.49370,43.07494,5,7
北海道,江別警察署,文京台,ブンキョウダイ,交番,文京台交番,江別警察署文京台交番,011-387-1866,690833,,江別市,12173,江別市文京台27-4,文京台27-4,北海道/江別市/文京台/２７番,141.49113,43.06762,5,7
