番号,名称,電話番号,郵便番号,都道府県,市区町村,全国地方公共団体コード,全体表記,町又は大字以降,備考,,Longitude,Latitude,isTrustful,0
280,兵庫県警察本部,078-341-7441,6508510,兵庫県,神戸市中央区,281107,兵庫県神戸市中央区下山手通五丁目４番１号,下山手通5-4-1,,兵庫県/神戸市/中央区/下山手通/五丁目/４番,135.18355,34.69044,5,7
290,奈良県警察本部,0742-23-0110,6308578,奈良県,奈良市,292010,奈良県奈良市登大路町80番地,登大路町80,,奈良県/奈良市/登大路町/８０番地,135.83372,34.68616,5,7
300,和歌山県警察本部,073-423-0110,6408588,和歌山県,和歌山市,302015,和歌山県和歌山市小松原通一丁目１番地１,小松原通1-1-1,,和歌山県/和歌山市/小松原通/一丁目/１番地,135.16766,34.22607,5,7
310,鳥取県警察本部,0857-23-0110,6808520,鳥取県,鳥取市,312011,鳥取県鳥取市東町一丁目271番地,東町1-271,,鳥取県/鳥取市/東町/一丁目/２７１番地,134.23840,35.50343,5,7
320,島根県警察本部,0852-26-0110,6908510,島根県,松江市,322016,島根県松江市殿町８番地１,殿町8-1,,島根県/松江市/殿町/８番地,133.05080,35.47048,5,7
330,岡山県警察本部,086-234-0110,7008512,岡山県,岡山市北区,331015,岡山県岡山市北区内山下二丁目４番６号,内山下2-4-6,,岡山県/岡山市/北区/内山下/二丁目/４番,133.93488,34.66159,5,7
340,広島県警察本部,082-228-0110,7308507,広島県,広島市中区,341011,広島県広島市中区基町９番42号,基町9-42,,広島県/広島市/中区/基町/９番,132.46115,34.39588,5,7
350,山口県警察本部,083-933-0110,7538504,山口県,山口市,352039,山口県山口市滝町１番１号,滝町1-1,,山口県/山口市/滝町/１番,131.47150,34.18597,5,7
360,徳島県警察本部,088-622-3101,7708510,徳島県,徳島市,362018,徳島県徳島市万代町二丁目５番地の１,万代町2-5-1,,徳島県/徳島市/万代町/二丁目/５番地,134.56001,34.06493,5,7
370,香川県警察本部,087-833-0110,7608579,香川県,高松市,372013,香川県高松市番町四丁目１番10号,番町4-1-10,,香川県/高松市/番町/四丁目/１番,134.04329,34.34044,5,7
380,愛媛県警察本部,089-934-0110,7908573,愛媛県,松山市,382019,愛媛県松山市南堀端町２番地２,南堀端町2-2,,愛媛県/松山市/南堀端町/２番,132.76295,33.83905,5,7
390,高知県警察本部,088-826-0110,7808544,高知県,高知市,392014,高知県高知市丸ノ内二丁目４番30号,丸ノ内2-4-30,,高知県/高知市/丸ノ内/二丁目/４番,133.53116,33.56304,5,7
400,福岡県警察本部,092-641-4141,8128576,福岡県,福岡市博多区,401323,福岡県福岡市博多区東公園７番７号,東公園7-7,,福岡県/福岡市/博多区/東公園/７番,130.41801,33.60620,5,7
410,佐賀県警察本部,0952-24-1111,8408540,佐賀県,佐賀市,412015,佐賀県佐賀市松原一丁目１番16号,松原1-1-16,,佐賀県/佐賀市/松原/一丁目/１番,130.29829,33.25127,5,7
420,長崎県警察本部,095-820-0110,8508548,長崎県,長崎市,422011,長崎県長崎市尾上町３番３号,尾上町3-3,,長崎県/長崎市/尾上町/３番,129.86861,32.74982,5,7
430,熊本県警察本部,096-381-0110,8628610,熊本県,熊本市中央区,431010,熊本県熊本市中央区水前寺六丁目18番１号,水前寺6-18-1,,熊本県/熊本市/中央区/水前寺/六丁目/１８番,130.74200,32.78938,5,7
440,大分県警察本部,097-536-2131,8708502,大分県,大分市,442011,大分県大分市大手町三丁目１番１号,大手町3-1-1,,大分県/大分市/大手町/三丁目/１番,131.61243,33.23823,5,7
450,宮崎県警察本部,0985-31-0110,8808509,宮崎県,宮崎市,452017,宮崎県宮崎市旭一丁目８番28号,旭1-8-28,,宮崎県/宮崎市/旭/一丁目/８番,131.42700,31.90986,5,7
460,鹿児島県警察本部,099-206-0110,8908566,鹿児島県,鹿児島市,462012,鹿児島県鹿児島市鴨池新町10番１号,鴨池新町10-1,,鹿児島県/鹿児島市/鴨池新町/１０番,130.55821,31.56007,5,7
470,沖縄県警察本部,098-862-0110,9000021,沖縄県,那覇市,472018,沖縄県那覇市泉崎一丁目２番２号,泉崎1-2-2,,沖縄県/那覇市/泉崎/一丁目/２番,127.67946,26.21278,5,7
